Titulo;Imagem;Link;Status Lote;Lance Atual;Visitas_lances
Leilão 24050 - 031 -  Casa Residencial - Porto Alegre - RS ;https://photos.sodresantoro.com.br/imoveis/24050/2394674/1686258221_I15758A.JPG?ims=430x323;/leilao/24050/lote/2394674/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 202.200;Visitas: 911 | Lances: 2
Leilão 24050 - 032 -  Casa Residencial - Pires Do Rio - GO ;https://photos.sodresantoro.com.br/imoveis/24050/2394675/1686258224_I15759A.JPG?ims=430x323;/leilao/24050/lote/2394675/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 227 | Lances: 0
Leilão 24050 - 033 -  Casa Residencial - Ribeirao Preto - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394680/1686258213_I15639A.JPG?ims=430x323;/leilao/24050/lote/2394680/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 976 | Lances: 0
Leilão 24050 - 034 -  Casa Residencial - Ponta Grossa - PR ;https://photos.sodresantoro.com.br/imoveis/24050/2394684/1687788130_I15760A.JPG?ims=430x323;/leilao/24050/lote/2394684/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 492 | Lances: 0
Leilão 24050 - 035 -  Casa Residencial (Desocupado)  - Sao Pedro Da Aldeia - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394691/1686258229_I15761A.JPG?ims=430x323;/leilao/24050/lote/2394691/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 208.080;Visitas: 756 | Lances: 1
Leilão 24050 - 036 -  Casa Residencial - Sao Gabriel - RS ;https://photos.sodresantoro.com.br/imoveis/24050/2394695/1686258231_I15762A.JPG?ims=430x323;/leilao/24050/lote/2394695/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 442.890;Visitas: 428 | Lances: 1
Leilão 24050 - 037 -  Casa Residencial - Tres De Maio - RS ;https://photos.sodresantoro.com.br/imoveis/24050/2394706/1686258232_I15763A.JPG?ims=430x323;/leilao/24050/lote/2394706/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 312 | Lances: 0
Leilão 24050 - 038 -  Lote Residencial - Belem - PA ;https://photos.sodresantoro.com.br/imoveis/24050/2394718/1686258236_I15764A.JPG?ims=430x323;/leilao/24050/lote/2394718/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 234 | Lances: 0
Leilão 24050 - 039 -  Casa Residencial - Rio De Janeiro - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394722/1686258237_I15765A.JPG?ims=430x323;/leilao/24050/lote/2394722/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 636 | Lances: 0
Leilão 24050 - 040 -  Apartamento Residencial - Sao Paulo - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394736/1686258238_I15766A.JPG?ims=430x323;/leilao/24050/lote/2394736/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 140.300;Visitas: 1966 | Lances: 12
Leilão 24050 - 041 -  Apartamento Residencial (Desocupado)  - Porto Alegre - RS ;https://photos.sodresantoro.com.br/imoveis/24050/2394740/1686258239_I15767A.JPG?ims=430x323;/leilao/24050/lote/2394740/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 985 | Lances: 0
Leilão 24050 - 042 -  Apartamento Residencial - Bauru - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394743/1686258241_I15768A.JPG?ims=430x323;/leilao/24050/lote/2394743/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 645 | Lances: 0
Leilão 24050 - 043 -  Casa Residencial - Ipua - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394747/1686258242_I15769A.JPG?ims=430x323;/leilao/24050/lote/2394747/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 325 | Lances: 0
Leilão 24050 - 044 -  Casa Residencial - Marica - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394748/1686258245_I15770A.JPG?ims=430x323;/leilao/24050/lote/2394748/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 377 | Lances: 0
Leilão 24050 - 045 -  Casa Residencial - Caldas Novas - GO ;https://photos.sodresantoro.com.br/imoveis/24050/2394749/1686258247_I15771A.JPG?ims=430x323;/leilao/24050/lote/2394749/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 305 | Lances: 0
Leilão 24050 - 046 -  Casa Residencial - Peruibe - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2398156/1687280712_I15795A.JPG?ims=430x323;/leilao/24050/lote/2398156/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 437 | Lances: 0
Leilão 24050 - 047 -  Casa Residencial - Sorocaba - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2398157/1687280714_I15796A.JPG?ims=430x323;/leilao/24050/lote/2398157/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 398.944;Visitas: 475 | Lances: 1
Leilão 24050 - 048 -  Casa Residencial - Boituva - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2398158/1687280704_I15793A.JPG?ims=430x323;/leilao/24050/lote/2398158/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 316 | Lances: 0
Leilão 24050 - 049 -  Apartamento Residencial - Sao Paulo - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2398159/1687280702_I15792A.JPG?ims=430x323;/leilao/24050/lote/2398159/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 165.600;Visitas: 1410 | Lances: 2
Leilão 24050 - 050 -  Casa Residencial - Cuiaba - MT ;https://photos.sodresantoro.com.br/imoveis/24050/2398162/1687280708_I15794A.JPG?ims=430x323;/leilao/24050/lote/2398162/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 208 | Lances: 0
Leilão 24050 - 051 -  Apartamento Residencial - Gravatai - RS ;https://photos.sodresantoro.com.br/imoveis/24050/2400057/1687543536_I15803A.JPG?ims=430x323;/leilao/24050/lote/2400057/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 88 | Lances: 0
Leilão 24050 - 052 -  Casa Residencial - Franca - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2400058/1687543531_I15802A.JPG?ims=430x323;/leilao/24050/lote/2400058/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 113.300;Visitas: 486 | Lances: 33
Leilão 24050 - 053 -  Casa Residencial - Macae - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2400059/1687543524_I15800A.JPG?ims=430x323;/leilao/24050/lote/2400059/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 142 | Lances: 0
Leilão 24050 - 054 -  Casa Residencial - Cabedelo - PB ;https://photos.sodresantoro.com.br/imoveis/24050/2400060/1687543530_I15801A.JPG?ims=430x323;/leilao/24050/lote/2400060/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 153 | Lances: 0
Leilão 24050 - 056 -  Casa Residencial - Do Turista 2ª Etapa, Caldas Novas, GO, 75696-121 - Ca... ;https://photos.sodresantoro.com.br/imoveis/24050/2401360/1687971961_I15805A.JPG?ims=430x323;/leilao/24050/lote/2401360/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 152 | Lances: 0
Leilão 24050 - 057 -  Casa Residencial - Hortolandia - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2401361/1687971968_I15810A.JPG?ims=430x323;/leilao/24050/lote/2401361/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 232 | Lances: 0
Leilão 24050 - 058 -  Casa Residencial - Sao Paulo - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2401362/1687971966_I15808A.JPG?ims=430x323;/leilao/24050/lote/2401362/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 705 | Lances: 0
