Titulo;Leilao;Segmento;Tipo Categoria;situacao;data_hora
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24153/;Imóveis (1);Imóvel Residencial;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24160/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24155/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24154/;Imóveis (1);Imóvel Residencial;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24166/;Imóveis (1);Terreno urbano;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24162/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
FERNANDO ANTONIO GOMES MARTINS;/leilao/24096/;Imóveis (1);Salas comerciais;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24149/;Materiais (6);;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24170/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24201/;Veículos (15);;Auditório Virtual        ;05/07/2023 11:29:47
DUARTE E OUTROS;/leilao/24123/;Imóveis (1);Casa Residencial;Auditório Virtual        ;05/07/2023 11:29:47
CONSULADO GERAL AMERICANO;/leilao/24139/;Materiais (95);;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24185/;Materiais (8);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC;/leilao/24192/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
SAGARANA PATRIMONIAL E PARTIÇÕES LTDA;/leilao/24135/;Imóveis (1);Loja;Auditório Virtual        ;05/07/2023 11:29:47
